ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
87	87.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Flower Still-Life	1677	Oil on canvas, 58 x 47 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillife.html
88	88.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Fruit Still-Life	1677	Oil on canvas, 58 x 47 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilliff.html
89	89.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit, Parrot, and Nautilus Pitcher	1653	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillpar.html
90	90.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Peaches and Plums	1644	Oil on panel, octagonal, 23 x 30 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillpea.html
91	91.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Mouse and Candle	1647	Oil on copper, 19 x 25 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilmous.html
92	92.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit and a Crystal Vase	c. 1650	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilvase.html
93	93.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Vase of Flowers with Pocket Watch	1656	Oil on canvas	Staatliche Museen, Kassel	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/vasewatc.html
94	94.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life of Dead Birds and Hunting Weapons	1660	Oil on canvas, 86,5 x 68 cm	Staatliche Museen, Berlin	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/weapons.html
95	95.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Armour	1635-41	Black chalk on vellum, 110 x 155 m	Fogg Art Museum, Harvard University, Cambridge	graphics	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/z_armour.html
96	96.jpg	AENVANCK, Theodoor	(b. 1633, Antwerpen, d. 1690, Antwerpen)	Fruit	1653	Oil on panel, 63 x 80 cm	Koninklijk Museum voor Schone Kunsten, Antwerp	painting	still-life	Flemish	1651-1700	http://www.wga.hu/html/a/aenvanck/fruit.html
100	100.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Christ and the Adulteress	1559	Oil on wood, 122 x 177 cm	Städelsches Kunstinstitut, Frankfurt	painting	still-life	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/christ_a.html
108	108.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Market Scene	c. 1550	Oil on oak, 59,5 x 122,5 cm	Alte Pinakothek, Munich	painting	still-life	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/marketse.html
109	109.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Market Woman with Vegetable Stall	1567	Oil on wood, 11 x 110 cm	Staatliche Museen, Berlin	painting	still-life	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/marketst.html
112	112.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Still-Life	1552	Oil on wood, 60 x 101,5 cm	Kunsthistorisches Museum, Vienna	painting	still-life	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/stillife.html
135	135.jpg	AGOSTINO DI DUCCIO	(b. 1418, Firenze, d. 1481, Perugia)	The Obedience	1457-61	Marble, height 130 cm	Oratorio di San Bernardino, Perugia	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/agostin/perugia1.html
143	143.jpg	AGOSTINO DI DUCCIO	(b. 1418, Firenze, d. 1481, Perugia)	The Moon	c. 1456	Marble	Tempio Malatestiano, Rimini	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/agostin/rimini4.html
144	144.jpg	AGOSTINO DI DUCCIO	(b. 1418, Firenze, d. 1481, Perugia)	Saturn	c. 1456	Marble	Tempio Malatestiano, Rimini	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/agostin/rimini5.html
145	145.jpg	AGOSTINO DI DUCCIO	(b. 1418, Firenze, d. 1481, Perugia)	Philosophy	c. 1456	Marble	Tempio Malatestiano, Rimini	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/agostin/rimini6.html
154	154.jpg	AIVAZOVSKY, Ivan Konstantinovich	(b. 1817, Feodosiya, d. 1900, Feodosiya)	The Ninth Wave	1850	Oil on canvas, 221 × 332 cm	State Russian Museum, St. Petersburg	painting	landscape	Russian	1851-1900	http://www.wga.hu/html/a/aivazovs/9th_wave.html
155	155.jpg	AIVAZOVSKY, Ivan Konstantinovich	(b. 1817, Feodosiya, d. 1900, Feodosiya)	A Strong Wind	1856	Pencil and gouache on paper, 230 x 327 mm	Private collection	graphics	landscape	Russian	1851-1900	http://www.wga.hu/html/a/aivazovs/astrong.html
156	156.jpg	AIVAZOVSKY, Ivan Konstantinovich	(b. 1817, Feodosiya, d. 1900, Feodosiya)	Shipwreck	1856	Pencil and gouache on paper, 230 x 327 mm	Private collection	graphics	landscape	Russian	1851-1900	http://www.wga.hu/html/a/aivazovs/shipwrec.html
157	157.jpg	AIVAZOVSKY, Ivan Konstantinovich	(b. 1817, Feodosiya, d. 1900, Feodosiya)	Ship in the Stormy Sea	1887	Oil on canvas, 63 x 97 cm	The Hermitage, St. Petersburg	painting	landscape	Russian	1851-1900	http://www.wga.hu/html/a/aivazovs/stormy.html
158	158.jpg	AKEN, Joseph van	(b. ca. 1699, Antwerpen, d. 1749, London)	The Van Aken Brothers	-	Oil on canvas, 89 x 125 cm	Private collection	painting	portrait	Flemish	1701-1750	http://www.wga.hu/html/a/aken/brothers.html
165	165.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Spring (Venus at her Toilet)	1616-17	Oil on canvas, diameter 154 cm	Galleria Borghese, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/1spring.html
166	166.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Spring (detail)	1616-17	Oil on canvas	Galleria Borghese, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/1spring1.html
167	167.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Summer (Venus in Vulcan's Forge)	1616-17	Oil on canvas, diameter 154 cm	Galleria Borghese, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/2summer.html
168	168.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Autumn (Venus and Adonis)	1616-17	Oil on canvas, diameter 154 cm	Galleria Borghese, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/3autumn.html
169	169.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Winter (The Triumph of Diana)	1616-17	Oil on canvas, diameter 154 cm	Galleria Borghese, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/4winter.html
170	170.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Ceiling vault of piano nobile loggia	1611-12	Fresco	Palazzo Verospi, Rome	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/5verospi.html
171	171.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Ceiling painting	1634	Fresco	Villa Corsini a Mezzomonte, Impruneta	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/6corsini.html
172	172.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Adonis Led by Cupids to Venus (detail)	1600	Oil on canvas	Musée du Louvre, Paris	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/adonis.html
174	174.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Diana and Actaeon	1625-30	Oil on wood transferred to canvas, 74,5 x 99,5 cm	Gemäldegalerie, Dresden	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/dianaact.html
175	175.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Diana and Actaeon	c. 1617	Oil on copper, 52 x 61 cm	Musée du Louvre, Paris	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/dianacte.html
179	179.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Venus Attended by Nymphs and Cupids	1633	Oil on canvas, 114 x 171 cm	Museo del Prado, Madrid	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/venus.html
180	180.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Toilet of Venus	c. 1610	Oil on canvas, 89 x 99 cm	Pinacoteca Nazionale, Bologna	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/venus0.html
181	181.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Toilet of Venus	1621-33	Oil on canvas, 202 x 252 cm	Musée du Louvre, Paris	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/venus1.html
182	182.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Cupids Disarmed	1621-33	Oil on canvas, 202 x 250 cm	Musée du Louvre, Paris	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/1/venus2.html
183	183.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton1.html
184	184.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: Fall of Phaethon and Olympian Gods	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton2.html
185	185.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: Neptune Taming Horses	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton3.html
186	186.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: River Gods Eridanus, Heliades, and Cycnus	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton4.html
187	187.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: Venus at her Toilet	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton5.html
188	188.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: Lamenting Mother Earth	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton6.html
189	189.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: Galatea on a Dolphin	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton7.html
190	190.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	The Phaethon Legend: River Gods Eridanus, Heliades, and Cycnus (detail)	1609-10	Fresco	Palazzo Odescalchi Giustiniani, Bassano Romano	painting	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton8.html
191	191.jpg	ALBANI, Francesco	(b. 1578, Bologna, d. 1660, Bologna)	Mercury	c. 1609	Black crayon with white highlights on blue paper, 504 x 400 mm	Royal Collection, Windsor	graphics	mythological	Italian	1601-1650	http://www.wga.hu/html/a/albani/2/phaeton9.html
197	197.jpg	ALBERTI, Cherubino	(b. 1553, Borgo San Sepolcro, d. 1615, Roma)	Fame	-	Engraving. 320 x 170 cm	British Museum, London	graphics	mythological	Italian	1551-1600	http://www.wga.hu/html/a/alberti1/cherubin/fame.html
201	201.jpg	ALBERTI, Giovanni	(b. 1558, Borgo San Sepolcro, d. 1601, Roma)	Ceiling decoration	1596-1602	Fresco	Palazzo Pontifici, Vatican	painting	mythological	Italian	1551-1600	http://www.wga.hu/html/a/alberti1/giovanni/ceiling.html
214	214.jpg	ALBERTI, Leon Battista	(b. 1404, Genova, d. 1472, Roma)	Self-Portrait	c. 1435	Bronze, height 20 cm	National Gallery of Art, Washington	sculpture	portrait	Italian	1401-1450	http://www.wga.hu/html/a/alberti/selfport.html
228	228.jpg	ALBOTTO, Francesco	(b. 1721, Venezia, d. 1757, Venezia)	View of Campo Santi Giovanni e Paolo	c. 1745	Oil on canvas, 61 x 97 cm	Museo Nazionale di Capodimonte, Naples	painting	landscape	Italian	1701-1750	http://www.wga.hu/html/a/albotto/campo.html
229	229.jpg	ALBOTTO, Francesco	(b. 1721, Venezia, d. 1757, Venezia)	San Giuseppe di Castello	c. 1745	Oil on canvas, 59,5 x 97 cm	Private collection	painting	landscape	Italian	1701-1750	http://www.wga.hu/html/a/albotto/giuseppe.html
230	230.jpg	ALCIBAR, José de	(b. 1725/30, Mexico, d. 1803, Mexico)	Portrait of María Anna Josefa Taking Vow	1793	Oil on canvas, 103,5 x 83,5 cm	Szépmûvészeti Múzeum, Budapest	painting	portrait	Other	1751-1800	http://www.wga.hu/html/a/alcibar/v_josefa.html
